TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,isTrain,High_confidence,Source,TEFF_SPEC,LOGG_SPEC,FE_H_SPEC,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
90370,3205,147.714789,39.73190125,0.997,14.562665,14.3512259,14.1902161,13.4781666,13.3692589,12.846117,12.6869459,12.2624941,12.1886845,12.064414,12.0037804,11.9697514,0.916503906,0,0,New,,,,5093.3555,3.4224255,-0.267546,108.442505,0.13014434,0.13509534
90370,4195,147.254018,39.82565245,1,16.1910782,15.8551064,15.8892546,15.2287388,15.1569042,14.6785269,14.527812,14.141119,14.0645199,13.9346581,13.8804502,13.8407383,0.928222656,0,0,New,,,,4942.0894,2.9577014,-0.9612133,116.7358,0.27547523,0.24864382
90370,8737,147.7658528,40.14111531,0.992,16.8382759,16.4128838,16.2494831,15.1056013,14.686594,13.7618198,13.4815569,12.6825409,12.5195074,12.224061,12.0514307,11.9842625,0.989257813,0,1,Wu,,,,4056.8962,1.6021835,-0.5841652,62.66819,0.3037929,0.1969357
90370,9321,148.1725349,40.09866856,0.967,16.9072304,16.5917702,16.5545559,15.696517,15.5865431,14.9531908,14.7734947,14.2590675,14.1517849,13.9892731,13.8915033,13.8519621,0.970703125,0,1,New,,,,4688.2383,2.2771199,-0.73691636,98.86473,0.23437789,0.17303109
90370,11612,147.2020975,40.73249293,0.999,16.2297039,16.0275269,15.6962566,14.770153,14.4231329,13.4999809,13.4671288,12.3659563,12.1617298,11.9172363,11.7632818,11.7105818,0.952636719,0,0,New,,,,4184.43,4.270561,-0.049466882,96.50393,0.17133902,0.12452903
90370,16092,146.5365923,40.37678604,0.982,16.4324245,16.2124004,16.0303497,15.1675463,14.9527397,14.3255291,14.139554,13.5939999,13.4843397,13.3195629,13.2218981,13.1825132,0.984375,0,1,Wu,,,,4648.865,2.5735416,-0.46406418,82.28461,0.090867706,0.07894168
90382,21753,149.5033775,40.7443309,0.999,16.6018219,16.2322845,16.257988,15.5046511,15.3690262,14.8239574,14.6187534,14.1607389,14.063674,13.8812199,13.7952757,13.7601194,0.952148438,0,1,New,,,,4647.772,1.6278529,-1.3965389,128.7291,0.24845316,0.19512488
90393,11038,150.3508484,40.81560841,0.999,17.3488312,16.9059315,16.8912849,16.2134342,16.073658,15.53827,15.3447886,14.8735971,14.7803373,14.6045933,14.5080576,14.4792805,0.948730469,0,0,New,,,,4711.136,1.9998639,-1.24313,85.23112,0.20168291,0.18550353
90393,14553,151.7384225,40.54271199,0.925,16.5647278,16.161026,16.1750889,15.5736132,15.4567537,15.0839043,14.9296875,14.5874319,14.5222301,14.4026337,14.356432,14.3417873,0.916992188,0,0,New,,,,4885.1094,2.013501,-1.5912472,111.4809,0.38499045,0.33805636
90393,16444,151.1210515,40.4045289,0.834,17.3931217,16.9213276,16.9375839,16.2675533,16.1256256,15.5948238,15.3821392,14.9331388,14.8397331,14.6583138,14.5513353,14.5320396,0.937988281,0,0,Wu,,,,4650.648,1.7426082,-1.416445,89.38907,0.18751973,0.18718556
90393,17204,150.4324334,40.34992465,0.976,17.0086994,16.7561188,16.6714325,15.8352928,15.6723547,15.0798054,14.8540764,14.3701687,14.2776537,14.0932665,13.9884329,13.9735031,0.922363281,0,0,Wu,,,,4672.0005,2.4177458,-0.6643313,98.18715,0.226905,0.1447965
90393,17804,151.3735509,40.31194279,0.967,17.6005898,17.2150688,17.2532501,16.3432884,16.1415768,15.5015717,15.2623243,14.722868,14.6271296,14.393158,14.2756147,14.2345924,0.973144531,0,1,Wu,,,,4424.1177,1.2098609,-1.3162072,76.212975,0.20901026,0.19322643
90409,9387,152.7909959,40.09481908,0.916,16.7368126,16.2793846,16.2260628,15.7978954,15.7043743,15.4314375,15.2851534,15.0324421,14.9908218,14.8896866,14.858305,14.8442125,0.919921875,0,0,New,,,,5520.8125,3.0428317,-1.1947453,441.67383,0.8585426,0.47848332
90409,9878,152.2865404,40.12121316,0.993,15.844738,15.6290092,15.5700245,14.8174629,14.7394762,14.2239637,14.0679045,13.6478109,13.5764732,13.4341125,13.3809147,13.3516665,0.938964844,0,0,New,,,,4839.4277,3.507828,-0.5699085,157.97911,0.22478034,0.15266992
90409,17088,152.192555,40.42185183,0.996,16.7451477,16.3745041,16.3277664,15.7636786,15.6906338,15.311327,15.1421013,14.8141708,14.7441044,14.6244087,14.5548534,14.5561371,0.928222656,0,0,New,,,,5049.2075,3.0794928,-1.1064179,205.79594,0.41752255,0.3602915
90417,1527,154.5593137,39.53744056,0.834,15.551199,15.1752768,15.2182007,14.5245132,14.4480324,13.9479799,13.7597723,13.3469143,13.2712097,13.1522093,13.0379333,13.0134401,0.987792969,0,1,Wu,,,,4751.5356,2.0912695,-1.4287826,119.18976,0.31685203,0.21628
90417,8886,154.7235693,40.00156745,0.996,16.8839493,16.4718475,16.5411949,15.8865023,15.8219604,15.3031797,15.1347523,14.7372255,14.6501207,14.4884148,14.413229,14.3862219,0.969726563,0,1,New,,,,4807.046,1.863705,-1.4759505,128.11082,0.26044852,0.23415767
90417,10892,154.3130869,40.11779505,0.935,15.7834301,15.4068871,15.3787289,15.0119438,14.941021,14.584549,14.4212866,14.1124802,14.0539188,13.9150953,13.8560104,13.8391171,0.92578125,0,0,New,,,,5046.9727,2.2161603,-1.7622068,227.24617,0.4419905,0.2356959
90417,11335,154.8576169,40.14782946,0.937,17.148531,16.7754116,16.8187656,16.2829437,16.2528191,15.8404655,15.6732845,15.3138256,15.2368708,15.0806599,15.0168667,15.0042391,0.925292969,0,0,New,,,,4788.8247,1.6396624,-1.9413788,167.4428,0.42856145,0.23012021
90417,14321,154.0602636,40.58599868,0.847,17.4636021,17.1254234,17.0983448,16.2316589,16.0644493,15.4997778,15.2681179,14.8060369,14.719511,14.5276089,14.4432306,14.4083157,0.965820313,0,1,New,,,,4713.2363,2.2882502,-0.76074004,113.46285,0.26785517,0.16925351
87066,1341,105.2129738,32.544794,0.963,15.5554218,15.3078661,15.1142082,14.4343491,14.2990513,13.7192135,13.5202904,13.0295343,12.9427881,12.7554951,12.646843,12.6272907,0.965332031,0,1,New,,,,4989.834,3.1527314,-0.44039422,87.92793,0.18443833,0.11638896
87066,2065,106.3050949,32.57305045,0.974,15.5394726,15.2749872,15.0939083,14.3292475,14.1535807,13.5413227,13.316514,12.8207836,12.7365789,12.5561981,12.4478455,12.4246864,0.9609375,0,1,New,,,,4821.077,2.5324414,-0.4591835,80.14327,0.11352058,0.09133754
87066,2176,105.9377235,32.57989098,0.991,17.0873642,16.809866,16.5289001,15.5127697,15.1636581,14.2954655,14.0247107,13.2956142,13.1477451,12.8690958,12.6874399,12.6399498,0.98828125,0,1,New,,,,4151.4116,1.1159976,-1.1490614,25.352528,0.38449165,0.2775304
